Company,Company Name,Company Category,Apps Analyzed,H1 Apps,H2 Apps,Net,Change Percent,Logo URL
instabug.com,Instabug,Analytics: Product,52287,163,154,-9,-0.0552,company-logos/instabug.com/logo_200x200.jpeg
tapjoy.com,TapJoy,Ad Networks,52287,1074,1014,-60,-0.0559,company-logos/tapjoy.com/logo_200x200.jpeg
smartlook.com,Smartlook,Analytics: Product,52287,141,133,-8,-0.0567,company-logos/smartlook.com/logo_200x200.jpeg
apptimize.com,Apptimize,Business Tools,52287,34,32,-2,-0.0588,company-logos/apptimize.com/logo_200x200.jpeg
lexisnexis.com,LexisNexis ThreatMetrix,Analytics: Product,52287,148,139,-9,-0.0608,company-logos/lexisnexis.com/logo_200x200.jpeg
smartadserver.com,SmartAdServer,Ad Networks,52287,127,118,-9,-0.0709,company-logos/smartadserver.com/logo_200x200.jpeg
swrve.com,Swrve,Business Tools,52287,54,50,-4,-0.0741,company-logos/swrve.com/logo_200x200.jpeg
superawesome.tv,Super Awesome,Ad Networks,52287,229,211,-18,-0.0786,company-logos/superawesome.tv/logo_200x200.jpeg
mopub.com,Mopub,Ad Networks,52287,333,306,-27,-0.0811,company-logos/mopub.com/logo_200x200.jpeg
tapcart.com,Tapcart,Business Tools,52287,23,21,-2,-0.087,company-logos/tapcart.com/logo_200x200.jpeg
flurry.com,Flurry,Ad Networks,52287,532,478,-54,-0.1015,company-logos/flurry.com/logo_200x200.jpeg
adcolony.com,AdColony,Ad Networks,52287,1246,1115,-131,-0.1051,company-logos/adcolony.com/logo_200x200.jpeg
playgap.io,Playgap,Ad Networks,52287,37,33,-4,-0.1081,company-logos/playgap.io/logo_200x200.jpeg
tongdun.cn,TongDun,Business Tools,52287,29,25,-4,-0.1379,
criteo.com,Criteo,Ad Networks,52287,257,221,-36,-0.1401,company-logos/criteo.com/logo_200x200.jpeg
linkvertise.com,Linkvertise,Ad Networks,52287,21,17,-4,-0.1905,company-logos/linkvertise.com/logo_200x200.jpeg
liftoff.io,LiftOff,Ad Networks,52287,25,20,-5,-0.2,company-logos/liftoff.io/logo_200x200.jpeg
voodoo.io,VOODOO,Ad Networks,52287,91,72,-19,-0.2088,company-logos/voodoo.io/logo_200x200.jpeg
